,player_id,full_name,status,team,position
6462,6462,Ellis Richardson,Active,,TE
11255,11255,Nick Amoah,Active,,OL
8842,8842,Malkelm Morrison,Injured Reserve,,CB
7926,7926,Carl Tucker,Active,,TE
1875,1875,C.J. Mosley,Inactive,NYJ,LB
8478,8478,Samuel Womack,Active,IND,CB
995,995,Ron Parker,Injured Reserve,,FS
1408,1408,Le'Veon Bell,Active,TB,RB
8074,8074,Matt Seybert,Active,,TE
156,156,William Gay,Inactive,,CB
7311,7311,Javin White,Active,,LB
2091,2091,Bashaud Breeland,Active,ARI,CB
11533,11533,Brandon Aubrey,Active,DAL,K
2508,2508,Amarlo Herrera,Inactive,,LB
2199,2199,Kasim Edebali,Inactive,,DE
2881,2881,Tyler Slavin,Inactive,,WR
2064,2064,DeMarcus Lawrence,Inactive,DAL,DE
1284,1284,Lance Dunbar,Inactive,,RB
2801,2801,DeAndrew White,Inactive,,WR
4501,4501,Devaroe Lawrence,Active,,DT
5852,5852,DeAndre Baker,Active,,CB
1073,1073,Taylor Thompson,Inactive,,TE
3374,3374,Kevon Seymour,Active,WAS,CB
8012,8012,Corey Straughter,Active,,CB
7918,7918,A.J. Rose,Active,,RB
777,777,Erik Pears,Inactive,,T
5428,5428,Ricky Jeune,Active,,WR
1982,1982,Aaron Colvin,Active,,CB
12376,12376,Marquis Wilson,Active,,DB
7882,7882,Christian Uphoff,Active,,DB
8733,8733,Jacob Hummel,Active,LAR,LB
11522,11522,Jerome Kapp,Active,,WR
2474,2474,Nick Boyle,Active,,TE
8852,8852,Ty Clary,Active,,OL
8809,8809,Aaron Shampklin,Active,PIT,RB
9487,9487,Parker Washington,Active,JAX,WR
6923,6923,Geno Stone,Active,CIN,DB
1907,1907,Johnny Manziel,Inactive,,QB
7325,7325,Joe Gaziano,Active,JAX,DE
8716,8716,Jarrid Williams,Active,,OL
6648,6648,Brock Ruble,Active,,OT
3342,3342,Jakeem Grant,Active,,WR
1684,1684,Jaron Brown,Active,,WR
3268,3268,Eric Murray,Active,HOU,DB
4449,4449,Nicholas Morrow,Active,BUF,LB
11072,11072,Joshua Pryor,Active,,DL
6918,6918,Salvon Ahmed,Active,IND,RB
6137,6137,Tommy Sweeney,Active,CHI,TE
11340,11340,Brad Cecil,Active,,OL
5668,5668,Aaron Stinnie,Active,NYG,G
3561,3561,Bryce Williams,Active,,TE
832,832,Ryan Whalen,Inactive,,WR
6751,6751,Duplicate Player,Inactive,,
3356,3356,Kyle Murphy,Active,NO,OT
6786,6786,CeeDee Lamb,Inactive,DAL,WR
5038,5038,Michael Gallup,Active,,WR
10938,10938,DJ Johnson,Active,CAR,LB
4433,4433,Xavier Coleman,Inactive,,CB
11584,11584,Bucky Irving,Active,TB,RB
1195,1195,Doug Martin,Inactive,,RB
2023,2023,De'Anthony Thomas,Inactive,,WR
1461,1461,Mike Catapano,Inactive,,LB
7116,7116,Kevin Dotson,Active,LAR,OL
4907,4907,Nick Sirianni,Inactive,,
11649,11649,Kendall Milton,Active,CIN,RB
6783,6783,Jerry Jeudy,Active,CLE,WR
5592,5592,Tejan Koroma,Active,,C
2481,2481,Max Valles,Inactive,,LB
221,221,Brent Celek,Inactive,,TE
387,387,Knowshon Moreno,Inactive,,RB
8432,8432,Player Invalid,Inactive,,TE
7232,7232,Rashad Smith,Active,,LB
12213,12213,Anthony Sao,Active,,CB
11616,11616,Jacob Cowing,Active,SF,WR
5965,5965,Miles Boykin,Active,SEA,WR
2125,2125,Andrew Peacock,Inactive,,WR
11770,11770,JD Bertrand,Active,ATL,LB
4992,4992,Dante Pettis,Active,NO,WR
1590,1590,Eric Reid,Active,,SS
4804,4804,Darrell Brown,Active,,OT
4529,4529,Ryan Lewis,Inactive,,CB
439,439,JJ Jansen,Active,CAR,LS
6858,6858,James Lynch,Active,TEN,DT
1510,1510,Jordan Mills,Active,,T
4925,4925,Jordan Wade,Active,OAK,G
3620,3620,Bralon Addison,Inactive,,WR
11155,11155,Christian Sims,Active,,TE
1995,1995,Telvin Smith,Injured Reserve,,LB
10926,10926,Marte Mapu,Active,NE,DB
9504,9504,Kayshon Boutte,Active,NE,WR
4828,4828,Rashard Davis,Active,,WR
1914,1914,Dri Archer,Inactive,,RB
11525,11525,Daniel Whelan,Active,,P
1711,1711,Darren Woodard,Inactive,,CB
4396,4396,Drew Morgan,Active,,WR
4038,4038,John Ross,Active,,WR
1148,1148,Kyle Wilber,Active,,LB
914,914,Leonard Hankerson,Inactive,,WR
1649,1649,Jordan Kovacs,Inactive,,DB
11439,11439,Jaleel McLaughlin,Active,DEN,RB
11282,11282,Johnny King,Active,,WR
3730,3730,Tevin Jones,Active,,WR
7153,7153,Kyle Hinton,Active,ATL,G
3414,3414,Anthony Sarao,Inactive,,ILB
186,186,DeMarcus Ware,Inactive,,DE
11450,11450,Tyler Beach,Active,,OL
11109,11109,Mark Evans,Active,,OL
1150,1150,Shea McClellin,Inactive,,LB
1813,1813,Randell Johnson,Inactive,,LB
4788,4788,Duplicate Player,Inactive,,CB
8533,8533,Josh Sokol,Active,,C
2330,2330,Shaq Thompson,Inactive,CAR,LB
1609,1609,Chris Pantale,Inactive,,TE
5718,5718,Ryan Yurachek,Active,,TE
3916,3916,David Watford,Active,,WR
6639,6639,Terrell Bonds,Active,,CB
5530,5530,Evan Berry,Active,,WR
11445,11445,Taylor Grimes,Active,,WR
174,174,Jay Ratliff,Inactive,,NT
5619,5619,Dalyn Dawkins,Active,,RB
5122,5122,Boston Scott,Active,,RB
7823,7823,Nate Hobbs,Active,LV,CB
5396,5396,Sergio Bailey II,Inactive,,WR
7160,7160,Ledarius Mack,Inactive,,LB
2854,2854,Kenny Horsley,Inactive,,DT
11629,11629,Devontez Walker,Active,BAL,WR
6623,6623,Jomon Dotson,Inactive,,DB
5031,5031,Oren Burks,Active,PHI,LB
680,680,Kory Lichtensteiger,Inactive,,C
12446,12446,Marvin Moody,Active,,LB
526,526,Arthur Jones,Inactive,,DE
12342,12342,Travis Benham,Active,,P
7229,7229,Dieter Eiselen,Active,JAX,OL
6478,6478,Ryan Crozier,Active,,G
3060,3060,Kevin Coyle,Inactive,,
2109,2109,Ryan Groy,Inactive,,G
5003,5003,Shaquem Griffin,Active,,LB
355,355,Brian Leonard,Inactive,,RB
506,506,David Nelson,Inactive,,WR
737,737,Mickey Shuler,Inactive,,TE
1749,1749,Jake Stoneburner,Inactive,,TE
4758,4758,Brett Veach,Inactive,,
8361,8361,Damarion Williams,Active,SEA,DB
3054,3054,Tyreek Burwell,Inactive,,T
2320,2320,Melvin Gordon,Active,,RB
11037,11037,Cory Trice,Active,PIT,CB
1100,1100,Jared Crick,Inactive,,DE
1895,1895,AJ McCarron,Active,,QB
11906,11906,Ty James,Active,,WR
5040,5040,Tarvarius Moore,Active,CHI,DB
2496,2496,Malcolm Johnson,Active,,FB
3876,3876,Michael Wakefield,Inactive,,OLB
7144,7144,Clay Johnston,Active,,LB
3728,3728,Brian Price,Injured Reserve,,DT
6581,6581,Derick Roberson,Active,,LB
4712,4712,Johnny Ragin,Active,,ILB
1660,1660,Brynden Trawick,Active,,FS
287,287,Brad Smith,Inactive,,WR
7258,7258,Luke Sellers,Inactive,,FB
3040,3040,David Irving,Inactive,,DE
12028,12028,TaMerik Williams,Active,,RB
521,521,Jeff Cumberland,Inactive,,TE
